,vectorName,vectorAddress,postal_code,lat,lon
1,DBS Bank Ltd,"68 Orchard Road, #B1-25 Plaza Singapura, Singapore 238839",Singapore 238839,1.301016,103.845411
2,AIA Singapore Private Limited,1 Robinson Road AIA Tower Singapore 048542,Singapore 048542,1.281966,103.851059
3,DNB Asia Ltd,1 Wallich St #30-01 Guoco Tower Singapore 078881,Singapore 078881,1.352083,103.819836
4,Svenska Handelsbanken,65 Chulia St #21-01/04 OCBC Centre Singapore 049513,Singapore 049513,1.285398,103.84953
5,China Construction Bank Corpn,9 Raffles Pl #33-01 Republic Plaza Singapore 048619,Singapore 048619,1.283242,103.850837
6,Agricultural Bank Of China Limited,7 Temasek Blvd #30-01/02/03 Suntec Tower One Singapore 038987,Singapore 038987,1.295285,103.85852
7,Bank Of China Ltd,4 Battery Rd  Bank of China Bldg Singapore 049908,Singapore 049908,1.285576,103.852229
8,Credit Suisse AG,1 Raffles Link #03-#04-01 Citylink Mall Singapore 039393,Singapore 039393,1.292009,103.85588
9,"JPMorgan Chase Bank, N.A.",168 Robinson Rd #19-00 Capital Tower Singapore 068912,Singapore 068912,1.27757,103.847334
10,National Bank Of Kuwait SAK,9 Raffles Pl #44-01 Republic Plaza Singapore 048619,Singapore 048619,1.283242,103.850837
11,P.T. Bank Negara Indonesia (Persero) TBK,158 Cecil St #01-04  Singapore 069545,Singapore 069545,1.279697,103.848111
12,Sumitomo Mitsui Banking Corpn S'pore Branch,3 Temasek Ave #04-00 Centennial Tower Singapore 039190,Singapore 039190,1.293309,103.860354
13,VTB Capital plc Singapore Branch,9 Battery Rd #27-00 Straits Trading Bldg Singapore 049910,Singapore 049910,1.285164,103.852302
14,A8 Credit,"390 Victoria St, Singapore 188061",Singapore 188061,1.302352,103.857864
15,Amundi S'pore Ltd,168 Robinson Rd #24-00 Capital Tower Singapore 068912,Singapore 068912,1.27757,103.847334
16,Arab Bank Plc,80 Raffles Pl #32-00 UOB Plaza 1 Singapore 048624,Singapore 048624,1.285361,103.85054
17,Arab Banking Corpn (B S C),Fax  9 Raffles Pl #60-03 Republic Plaza Singapore 048619,Singapore 048619,1.283242,103.850837
18,Australia And New Zealand Banking Group Ltd,50 Raffles Pl #01-03 Singapore Land Tower Singapore 048623,Singapore 048623,1.284542,103.851951
19,Axis Bank,"9, #48 01/02, Republic Plaza I, 1 Raffles Place, Singapore 048616",Singapore 048616,1.284479,103.851082
20,Axis Bank Ltd S'pore Branch,7 Bedok Sth Rd   Singapore 469272,Singapore 469272,1.3197049,103.930186
21,B-Gold Holding Co (S) Pte Ltd,3016 Bedok Nth Ave 4 #08-05 Eastech Singapore 489947,Singapore 489947,1.337734,103.948804
22,Ban Joo Investment (Pte) Ltd,28 Senang Cres #06-02  Singapore 416601,Singapore 416601,1.327371,103.918093
23,Banco Bilbao Vizcaya Argentaria S.A.,80 Raffles Pl #55-02 UOB Plaza 1 Singapore 048624,Singapore 048624,1.285361,103.85054
24,Bangkok Bank Public Co Ltd,180 Cecil St #04-00 Bangkok Bank Bldg Singapore 069546,Singapore 069546,1.279098,103.847827
25,Bank Brussels Lambert,"Republic Plaza #19-02, 9 Raffles Place (S)048619, Singapore 048619",Singapore 048619,1.283242,103.850837
26,Bank Indonesia,"11 Collyer Quay, #08-01 The Arcade, Singapore 049317",Singapore 049317,1.283529,103.852003
27,Bank Julius Baer & Co Ltd,8 Marina View #43-01 Asia Sq Tower 1 Singapore 018960,Singapore 018960,1.278968,103.851237
28,Bank Julius Baer & Co. Ltd.,"8 Marina View, #43-01 Asia Square Tower 1, Singapore 018960",Singapore 018960,1.278968,103.851237
29,Bank Morgan Stanley Ag,"16 Church St, Singapore 049481",Singapore 049481,1.283741,103.848941
30,Bank Of America National Association,9 Raffles Pl #15-00 Republic Plaza Singapore 048619,Singapore 048619,1.283242,103.850837
31,"Bank of America, National Association","50 Collyer Quay, #14-01, OUE Bayfront, Singapore 049321",Singapore 049321,1.283026,103.852791
32,Bank Of Baroda,"9 Raffles Place, #34-02 Republic Plaza, Singapore 048619",Singapore 048619,1.283242,103.850837
